n_eval,value,pretrain.data,pscale,ptask,fdata,fratio,ftask,model,nparam,pdata
16860,0.606661508031095,40000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
16860,0.653709957718734,80000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
16880,0.590199666424701,160000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
16880,0.656859459303576,320000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
16880,0.700183543420277,640000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
16880,0.73909350728256,1280000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
17320,0.587015500807433,20000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
17320,0.726395976681387,40000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
17320,0.725390584303494,80000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
17360,0.705685903054302,160000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
17360,0.658596262721077,320000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
17360,0.697417238475641,640000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
17360,0.667739029413835,1280000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
17800,0.620722471083015,20000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
17800,0.691723368254178,40000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
17800,0.739784282810976,80000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
17820,0.744079885019589,160000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
17820,0.694554563196883,320000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
17820,0.661343615001364,640000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
17820,0.683487964732012,1280000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
18260,0.650741182015749,20000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
18260,0.613260765418507,40000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
18260,0.733955309304214,80000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
18300,0.707585360274766,160000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
18300,0.647746613472776,320000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
18300,0.734902833041058,640000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
18300,0.714345343015179,1280000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
18720,0.601131384675288,20000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
18720,0.659735222860847,40000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
18720,0.660605149625026,80000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
