n_eval,value,pretrain.data,pscale,ptask,fdata,fratio,ftask,model,nparam,pdata
135020,0.122440002858639,40000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
135020,0.125279992818832,80000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
135020,0.127419993281364,160000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
135020,0.12253999710083,320000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
135020,0.121399998664856,640000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
135020,0.128099992871284,1280000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
140020,0.112700000405312,20000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
140020,0.122100003063679,40000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
140020,0.11259999871254,80000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
140020,0.121320001780987,160000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
140020,0.123939998447895,320000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
140020,0.126640006899834,640000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
140020,0.12763999402523,1280000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
145020,0.120679996907711,20000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
145020,0.124640002846718,40000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
145020,0.117360003292561,80000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
145020,0.122780002653599,160000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
145020,0.115520000457764,320000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
145020,0.11956000328064,640000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
145020,0.126340001821518,1280000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
150020,0.121320001780987,20000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
150020,0.124860003590584,40000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
150020,0.114780001342297,80000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
150020,0.126200005412102,160000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
150020,0.119159996509552,320000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
150020,0.125100001692772,640000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
150020,0.125660002231598,1280000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
155020,0.117260001599789,20000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
155020,0.122079998254776,40000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
155020,0.116379998624325,80000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
155020,0.124839998781681,160000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
155020,0.105200000107288,320000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
155020,0.124600000679493,640000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
155020,0.126540005207062,1280000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
160020,0.112620003521442,20000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
